team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Ferrari,Charles Leclerc,Season,SF1000,2020,Bburago,,36819l,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Sebastian Vettel,Season,SF1000,2020,Bburago,,36819v,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Alexander Albon,Season,RB16,2020,Minichamps,,410200023,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Max Verstappen,Season,RB16,2020,Minichamps,,410200033,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Season,W11,2020,Minichamps,,410200044,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Valtteri Bottas,Season,W11,2020,Minichamps,,410200077,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Renault,Daniel Ricciardo,Season,RS20,2020,Minichamps,,417200003,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Williams,Nicholas Latifi,Season,FW43,2020,Minichamps,,417200006,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Kimi Raikkonen,Season,C39,2020,Minichamps,,417200007,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Haas,Romain Grosjean,Season,VF-20,2020,Minichamps,,417200008,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
AlphaTauri,Pierre Gasly,Season,AT01,2020,Minichamps,,417200010,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Racing Point,Sergio Perez,Season,RP20,2020,Minichamps,,417200011,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Racing Point,Lance Stroll,Season,RP20,2020,Minichamps,,417200018,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Haas,Kevin Magnussen,Season,VF-20,2020,Minichamps,,417200020,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
AlphaTauri,Daniil Kvyat,Season,AT01,2020,Minichamps,,417200026,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Renault,Esteban Ocon,Season,RS20,2020,Minichamps,,417200031,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Williams,George Russell,Season,FW43,2020,Minichamps,,417200063,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Antonio Giovinazzi,Season,C39,2020,Minichamps,,417200099,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Lando Norris,Season,MCL35,2020,Minichamps,,537204304,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Carlos Sainz,Season,MCL35,2020,Minichamps,,537204355,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Kimi Raikkonen,Season,C39,2020,Minichamps,,417209907,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Robert Kubica,Season,C39,2020,Minichamps,,417209988,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Season,W11,2020,Spark,,s6450,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Valtteri Bottas,Season,W11,2020,Spark,,s6451,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Kimi Raikkonen,Season,C39,2020,Spark,,s6452,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Antonio Giovinazzi,Season,C39,2020,Spark,,s6453,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Robert Kubica,Season,C39,2020,Spark,,s6454,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Alfa Romeo,Kimi Raikkonen,Season,C39,2020,Spark,,s6455,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Renault,Daniel Ricciardo,Season,RS20,2020,Spark,,s6456,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Renault,Esteban Ocon,Season,RS20,2020,Spark,,s6457,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Max Verstappen,Season,RB16,2020,Spark,,s6458,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Alexander Albon,Season,RB16,2020,Spark,,s6459,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
AlphaTauri,Pierre Gasly,Season,AT01,2020,Spark,,s6460,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
AlphaTauri,Daniil Kvyat,Season,AT01,2020,Spark,,s6461,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Lando Norris,Season,MCL35,2020,Spark,,s6462,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
McLaren,Carlos Sainz,Season,MCL35,2020,Spark,,s6463,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Racing Point,Sergio Perez,Season,RP20,2020,Spark,,s6464,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Racing Point,Lance Stroll,Season,RP20,2020,Spark,,s6465,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Lewis Hamilton,Season,W11,2020,Spark,18s473,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Mercedes,Valtteri Bottas,Season,W11,2020,Spark,18s474,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Max Verstappen,Season,RB16,2020,Spark,18s475,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Red Bull,Alexander Albon,Season,RB16,2020,Spark,18s476,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Sebastian Vettel,Season,SF1000,2020,Looksmart,ls18f1027,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
Ferrari,Charles Leclerc,Season,SF1000,2020,Looksmart,ls18f1028,,,SINGLE SOURCE — miniatures-minichamps.com; scale read from the product page
