team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Mercedes,Lewis Hamilton,Turkish GP,W11,2020,Minichamps,,,"Race Winner - separate 'World Champion' commemorative edition, distinct SKU (127201444) from the race-specific model above","confirmed via rcteam.com listing (1:18, explicit SKU 127201444)"
Mercedes,Lewis Hamilton,Turkish GP,W11,2020,Minichamps,,,"Race Winner - 1:12 scale, worldwide limited edition of 350 pieces, modeled with worn intermediate tyres and a race-aged/grimy finish","confirmed via Diecast Legends listing (1:12 - this file has no 1:12 column, noted here instead)"
Mercedes,Lewis Hamilton,Eifel GP (Nurburgring),W11,2020,Minichamps,,,"Race Winner - his 91st career win, breaking Michael Schumacher's all-time record",confirmed to exist via a LiveCarModel listing (1:43); SKU not found in search
Mercedes,Lewis Hamilton,Tuscan GP (Mugello),W11,2020,Minichamps,,,"Race Winner - limited edition of 1,002 pieces",confirmed to exist via a LiveCarModel listing (1:18); SKU not found in search
Mercedes,Valtteri Bottas,Tuscan GP (Mugello),W11,2020,Minichamps,,,2nd Place,confirmed to exist via a LiveCarModel listing (1:43); SKU not found in search
Mercedes,Valtteri Bottas,Austrian GP,W11,2020,Minichamps,,,Race Winner - season opener; limited edition of 440 pieces,confirmed to exist via an eBay listing (1:18); SKU not found in search
Mercedes,Lewis Hamilton,Turkish GP,W11,2020,Spark,,,Race Winner - clinched his 7th World Championship,confirmed via Diecast4u listing (1:43); SKU not found in search
Mercedes,Lewis Hamilton,Turkish GP,W11,2020,Spark,,,"Race Winner - with driver figure, limited edition of 544 pieces",confirmed via eBay listing (1:18); SKU not found in search
Mercedes,Lewis Hamilton,British GP,W11,2020,Spark,,,Race Winner,confirmed via LiveCarModel listing (1:18); SKU not found in search
Mercedes,Lewis Hamilton,Tuscan GP (Mugello),W11,2020,Tarmac Works,,,"Race Winner - 1:64 scale, a collaboration with IXO under Tarmac Works' GLOBAL64 line; sold out directly from the manufacturer shortly after release","confirmed via an F1-nut.com review (1:64 - this file has no 1:64 column, noted here instead); SKU not found in search"
Mercedes,Valtteri Bottas,Austrian GP,W11,2020,Tarmac Works,,,"Race Winner - 1:64 scale, same GLOBAL64 line and sell-out situation as Hamilton's Tuscan GP entry above","confirmed via an F1-nut.com review (1:64 - this file has no 1:64 column, noted here instead); SKU not found in search"
McLaren,Carlos Sainz,Italian GP (Monza),MCL35,2020,Minichamps,,,"2nd Place - his best result with McLaren, behind Pierre Gasly's shock maiden win for AlphaTauri; the first race since 2012 where none of Ferrari, Mercedes or Red Bull reached the podium",SKU REMOVED — 537224304 embeds year 22 and is already held for 2022 MCL36 Norris Bahrain GP. The car is real (Sainz finished 2nd at Monza 2020); only the SKU was wrong. confirmed via a minimodelshop.com listing referencing this SKU as a comparison item (1:43); 1:18 not found in search
Williams,George Russell,Pre-season Launch Spec,FW43,2020,Minichamps,,,"Launch-spec livery, same context as the Latifi entry above",confirmed to exist via a Diecast Legends listing (1:43); SKU not found in search
Mercedes,George Russell,Sakhir GP,W11,2020,Minichamps,,,9th Place - substituting for the COVID-positive Hamilton on his Mercedes debut; led for 59 laps and looked set for a fairytale win before a Mercedes pit-stop tyre mix-up and a late puncture cost him the race,"confirmed via a Diecast Legends listing (1:43); SKU not found in search. Cross-referenced here in the Mercedes section since this was a one-off Mercedes drive, not a Williams one - Russell's own seat at Williams was filled that weekend by reserve driver Jack Aitken, for whom no diecast model was found in search"
Renault,Fernando Alonso,Pre-season Testing (Barcelona),R.S.20,2020,Minichamps,,,Test outing - not yet an official race seat; he would return to the grid full-time with the team (by then rebranded Alpine) in 2021,confirmed to exist via a DiecastSociety.com 'Minichamps New F1 Announcements 2020' article; SKU not found in search
