team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Mercedes,George Russell,Season,W11,2020,Minichamps,113201663,413201663,1st F1 Point 1:43 MINICHAMPS High Box; 1st F1 Point 1:18 MINICHAMPS Gift Box,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Mercedes,George Russell,Season,W11,2020,Amalgam,M6052-BAH-RUS,,1st F1 Point,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Mercedes,Lewis Hamilton,Season,W11,2020,Spark,18SP333,SP614,World Champion 1:18 Spark Figure Edition; World Champion 1:43 Spark Figure Special Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:18 Spark Figure Special Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:43 Spark Special Figure Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Belgium GP 1:43 Spark Special Figure Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:43 Spark Special Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:43 Spark Figure Special Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:18 Spark Special Figure Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Belgium GP 1:18 Spark Special Figure Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:43 Spark S6488; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:18 Spark,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Mercedes,Lewis Hamilton,Season,W11,2020,Minichamps,113202444,413202444,World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:43 MINICHAMPS Dirty Edition; World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP 1:18 MINICHAMPS Gift Box; World Champion Mercedes F1 W11 #44 Lewis Hamilton Eifel GP 91st Victory 1:18 MINICHAMPS,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Mercedes,Lewis Hamilton,Season,W11,2020,Amalgam,M6052-TUR-HAM,,World Champion Mercedes F1 W11 #44 Lewis Hamilton Turkey GP,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Red Bull Racing,Max Verstappen,Season,RB16,2020,Minichamps,Edition 54,410200533_01,70th Anniversary GP 2020 Winner 1:18 MINICHAMPS MV Edition 54,"SINGLE SOURCE — only Stone Model, Yuui lists this; SKU is unconfirmed and the car is inferred from one title"
Red Bull Racing,Max Verstappen,Season,RB16,2020,Spark,18S486,S6479,70th Anniversary GP-winnaar (Spark 1:43); 70th Anniversary GP-winnaar (Spark 1:18),SINGLE SOURCE — only Yuui lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Charles Leclerc,Season,SF1000,2020,BBR,BBR161000,,1000th GP 1:18 BBR Polifoam Packaging; 1000th GP 1:18 BBR Red Leather Base,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Sebastian Vettel,Season,SF1000,2020,BBR,BBR201805,BBRC245B,1000th 1:43 BBR BBRC245B,"SINGLE SOURCE — only Anthony's, Stone Model lists this; SKU is unconfirmed and the car is inferred from one title"
Williams,Nicholas Latifi,Season,FW43,2020,Minichamps,,417200006,,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
