team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Red Bull,Max Verstappen,Emilia Romagna GP (Imola),RB16B,2021,Minichamps,110210133,410210133,Race Winner,"confirmed via Racing Arts (1:18), CLDC Store (1:18), and CarModel.com (1:43) listings"
Red Bull,Sergio Perez,Emilia Romagna GP (Imola),RB16B,2021,Minichamps,,,Race result not a podium - his early races with the team were a difficult adjustment period,NEEDS VERIFICATION - confirmed to exist via CarModel.com listing (referenced alongside the Verstappen winner model above); SKU not found
Red Bull,Max Verstappen,Monaco GP,RB16B,2021,Minichamps,110210633,410210633,Race Winner - took the championship lead for the first time in his career,confirmed via eBay.de listings (LAF1DELMODELLISMO/Premium-Modelcars sellers) for both scales
Red Bull,Sergio Perez,Monaco GP,RB16B,2021,Minichamps,,,Race result not a podium,confirmed to exist via DiecastSociety.com 'New Formula One from Minichamps' announcement; SKU not found in search
Red Bull,Max Verstappen,Monaco GP,RB16B,2021,Spark,12S030,,"Race Winner - 1:12 scale, limited to 521 pieces","confirmed via DiecastSociety.com Spark New 1:12 Red Bull Racing Honda RB16B announcement | SCALE CORRECTION: this is a 1:12 model, not 1:18. Both Anthony's Diecasts and Stone Model title it 1:12, and the price (AUD 863-1300) matches 1:12 not 1:18. The CSV schema has no 1:12 column so the SKU sits in sku_1_18; the models table is set to 1:12 and a re-import must not undo that."
Red Bull,Sergio Perez,Azerbaijan GP,RB16B,2021,Minichamps,110210711,410210711,"Race Winner - his maiden F1 victory, inherited after Verstappen's tyre failure while leading and Hamilton's late brake issue",1:18 confirmed via Amazon and CLDC Store listings (limited to 504 pieces per MiniModelShop); 1:43 confirmed via Racing Models listing
Red Bull,Max Verstappen,French GP,RB16B,2021,Minichamps,110210833,410210833,Race Winner - passed Hamilton on the final lap after a two-stop strategy,confirmed via Amazon listings for both scales (1:43 limited to 1008 pieces per Racing Model Shop)
Red Bull,Max Verstappen,Styrian GP,RB16B,2021,Minichamps,,,Race Winner - led all 71 laps,NEEDS VERIFICATION - race result confirmed via the Amalgam Collection's RB16B retrospective and official F1.com results archive; no diecast listing found in search
Red Bull,Max Verstappen,Austrian GP,RB16B,2021,Minichamps,,,"Race Winner - third straight win, back-to-back at the same circuit as Styria",NEEDS VERIFICATION - race result confirmed via the Amalgam Collection's RB16B retrospective and official F1.com results archive; no diecast listing found in search
Red Bull,Max Verstappen,Belgian GP,RB16B,2021,Minichamps,110211333,410211333,"Race Winner - a heavily rain-shortened race, only 2 laps behind the safety car counted",confirmed via Amazon and eBay.de listings for both scales
